,rxn,real_molrank,energy_molrank,max_rate
2093,s1 + s16 = s19 + s21,4786.3402193610145,0.06577154779780194,3.685407638032497e-10
2094,s2 + s4 = s20 + s8,6.375857966058292e-16,6.795055575835401e-23,3.360587977956123e-33
2095,s5 + s9 = s13 + s15,516.1394769199824,0.004867617164501375,2.868589245488081e-14
2096,s21 + s5 = s14 + s2,0.950758373783015,0.024185687584434967,6.276353859409322e-12
2097,s15 + s5 = s3 + s7,0.004809315834608611,0.005043560680919066,3.1828754951528e-23
2098,s18 + s4 = s15 + s23,2.9168856766919426e-41,5.0555762321104826e-57,3.6827819404227066e-48
2099,s1 + s9 = s13 + s14,1.1286384168348534e-07,0.004468607202473349,1.4002313088578527e-25
2100,s14 + s15 = s24 + s6,0.10557558342731177,0.05705587913525308,1.4740322856244021e-12
2101,s15 + s2 = s18 + s6,453.22710681395057,0.015280685523925887,2.7390290024398545e-25
2102,s6 + s8 = s13 + s16,2.791156552596192e-08,5.301554012660859e-24,4.4696791174536395e-14
2103,s15 + s20 = s16 + s9,7.117279616076168e-07,0.008192658874858476,1.767549307392658e-26
2104,s12 + s18 = s1 + s16,5.698592385610274e-36,2.7544213077435973e-51,2.0925800517383184e-52
2105,s10 + s2 = s1 + s22,3.0558191985615263e-48,6.456441851321377e-53,1.8937661199956595e-62
2106,s10 + s9 = s14 + s16,7318438.256210041,0.008730045478475267,4.1423829013485155e-13
2107,s17 + s18 = s22 + s3,1.4764058501374097e-26,1.5022486933553878e-25,1.9421908081391308e-36
2108,s12 + s22 = s15 + s17,7.136875134930131e-15,1.0372111805198485e-28,9.330928667979266e-29
2109,s5 + s9 = s16 + s8,0.01668541925392264,0.004867617164501375,9.273387595516663e-19
2110,s15 + s2 = s16 + s19,0.033260781487425374,0.015280685523925887,2.0100793568657868e-29
2111,s10 + s12 = s15 + s16,2.318092973908395e-12,3.0797717218733355e-36,8.732587170523112e-32
2112,s20 + s24 = s14 + s16,3.164641524337571e-11,0.026649090645364852,1.0044963762381148e-27
2113,s1 + s5 = s10 + s3,1.4888426885809732e-06,0.002138281062614688,5.8859956755416306e-30
2114,s22 + s9 = s15 + s17,2.152761835241431,0.10085836014069108,4.52216426187182e-06
2115,s18 + s4 = s21 + s24,5.186205469474685e-17,1.5408947428532984e-20,6.5479644934058165e-24
2116,s21 + s9 = s1 + s18,1.1942300596709832e-12,3.419783976538204e-23,7.180207412866897e-18
2117,s10 + s15 = s20 + s3,186112.6956956137,0.009045599238777334,1.4997046170192472e-18
2118,s21 + s5 = s1 + s3,5.53387170791396e-12,8.683594848748233e-21,3.653140272984712e-23
2119,s12 + s21 = s13 + s15,1.4576482083377904e-53,4.864364795279595e-58,1.3003126948051453e-65
2120,s15 + s4 = s1 + s22,3.086407772994513e-34,1.0835423786262487e-39,3.531093133662035e-45
2121,s2 + s5 = s21 + s3,1.4272652396000873e-08,0.0070569105099032425,4.580502682294008e-37
2122,s21 + s7 = s16 + s2,118773.89981796381,0.007100885237833529,1.1404543212941346e-10
2123,s22 + s7 = s14 + s15,475759.27501447016,0.014169631837980666,1.390903574921922e-10
2124,s1 + s15 = s14 + s16,4.177719611707064e-12,0.00463012821740163,1.9480531085119004e-34
2125,s1 + s16 = s15 + s17,3923951.5123696774,5.8271102142938324e-08,3.02138172636775e-07
2126,s12 + s4 = s16 + s21,6.542294685940194e-05,4.284476702594855e-16,1.6398618159192663e-18
2127,s4 + s6 = s14 + s16,7.809215859120123e-28,2.2086504318675254e-27,2.842347196981009e-29
2128,s12 + s7 = s24 + s9,1.58039568725828e-17,2.616127721716518e-20,1.976448693999364e-45
2129,s13 + s7 = s17 + s21,2765985107411506.0,0.0027922070172582123,5.5221698598846457e-08
2130,s15 + s2 = s22 + s3,1041453088495.3065,0.0007488783015161392,6.293909104691268e-16
2131,s1 + s15 = s16 + s22,5.050258100903977e-07,0.00463012821740163,2.354914141361778e-29
2132,s20 + s4 = s16 + s5,73.46583029221503,7.727273972710992e-06,2.1796801652761164e-10
2133,s1 + s5 = s13 + s15,2.996937817586737e-15,0.002138281062614688,1.184810401359158e-38
2134,s1 + s7 = s13 + s15,3.403626769219529e-05,0.0006277964345173839,6.830546202870179e-33
2135,s7 + s9 = s15 + s20,1.584232286966083e-14,0.0014291258309760565,1.1251452787528213e-34
2136,s18 + s4 = s3 + s8,4.542816053951539e-14,5.8119901279623814e-11,5.7356382033898884e-21
2137,s4 + s9 = s1 + s16,6.033197837988141e-28,6.743485862822129e-20,4.39322171308542e-34
2138,s21 + s4 = s16 + s9,7.015427212522715e-11,8.727839846598258e-21,7.317264199250065e-12
2139,s12 + s17 = s16 + s8,2.250814676410285,5.580613686168903e-09,5.3593091922885284e-17
2140,s21 + s5 = s14 + s18,6.912383504952227,0.024185687584434967,4.5631535924737075e-11
2141,s25 + s8 = s23 + s3,0.00041446257718107576,5.885581718206632e-07,5.894120097311891e-29
2142,s5 + s8 = s22 + s7,8.42674558822608e-31,3.5214865167597173e-41,5.6222865266072144e-55
2143,s6 + s9 = s17 + s3,6.387864829474318e-11,1.755576545647021e-19,1.3418565331049461e-16
2144,s2 + s24 = s22 + s7,8.960729878686026e-33,1.4170966731845228e-43,5.784949895228669e-47
2145,s18 + s22 = s14 + s24,1079492284572.7012,0.2467184270661879,320254.7906524788
2146,s1 + s10 = s2 + s3,592281676.506442,0.0038349957056043192,1.2198144890188985e-19
2147,s19 + s7 = s13 + s17,5.467946821458593e-11,0.0021273234446442,7.0341809139229e-30
2148,s2 + s21 = s15 + s23,5.045902055665227e-39,8.79545389555354e-54,1.8151169834927147e-57
2149,s18 + s19 = s2 + s4,3082.2086750826948,0.03704047501903471,2.658287529400859e-06
2150,s2 + s7 = s17 + s21,755795532.3466281,0.002071899402882116,5.382518777424975e-23
2151,s1 + s5 = s14 + s24,10.092414993278778,0.002138281062614688,3.989938726355886e-23
2152,s10 + s2 = s1 + s13,1.191070053267594e-18,1.3664600713916855e-32,7.38135330284391e-33
2153,s14 + s2 = s15 + s24,1.305016438846409e-21,2.739779985393279e-38,1.808105306733211e-26
2154,s12 + s2 = s16 + s8,4.745601872587452,8.882928403696541e-15,2.281542824850756e-23
2155,s4 + s7 = s15 + s18,8.315057236023835e-08,0.004865334740420695,1.0234077501462617e-23
2156,s18 + s9 = s16 + s19,3458.5667447660876,0.024883615970386404,2.516747907063911e-08
2157,s1 + s2 = s19 + s23,1.259210786271433e+21,0.00647843905263117,2.756962993359358e-10
2158,s12 + s18 = s16 + s22,7.211551662661973e-32,1.215218367218328e-44,2.6481538124174235e-48
2159,s2 + s22 = s13 + s6,5.402019218337098e+19,0.146221117568386,79.14505091974495
2160,s13 + s6 = s15 + s18,8.142019859143898e-24,2.49597094659317e-41,8.41670729190099e-27
2161,s14 + s4 = s22 + s3,4.813383880482473e-24,3.514390598429816e-30,1.0690172236826501e-25
2162,s12 + s22 = s5 + s9,4.793633092768875e-25,8.413739179003844e-32,6.267315541247604e-39
2163,s18 + s4 = s15 + s2,2.511538132490735e-24,4.6720781463938475e-36,3.171000958635343e-31
2164,s2 + s5 = s23 + s24,1.040815845592695e-17,8.140193161879026e-19,3.3402759628947908e-46
2165,s18 + s5 = s13 + s16,0.011233235638191294,0.011907102680540647,8.815693941200101e-20
2166,s5 + s6 = s18 + s24,1.1657107806585436e-28,9.724315653442422e-17,2.4904919286560226e-39
2167,s2 + s24 = s10 + s3,47352260.24480895,0.04970503225760757,3.0570104963616704e-07
2168,s16 + s9 = s22 + s23,1.047337757366746e-29,1.0186956843729307e-40,3.170060143679707e-35
2169,s24 + s4 = s16 + s9,0.002252133332854337,0.11671976925147498,1.89934450724094e-09
2170,s12 + s4 = s24 + s3,2.6790114800219145e-32,3.1769312205094628e-46,6.7150882700814156e-46
2171,s18 + s7 = s1 + s15,1.685385892060264e-16,2.2060936042837795e-29,1.9454572791748766e-37
2172,s19 + s2 = s15 + s21,54894796.97174758,9.813989365734993e-11,0.0008851892585780461
2173,s12 + s19 = s16 + s22,1.2633088424315016e-25,4.125751244100953e-32,2.4948969931986156e-41
2174,s1 + s7 = s19 + s3,1.756655833758243,0.0006277964345173839,3.525333313140716e-28
2175,s2 + s7 = s15 + s22,3.0449209137475696e-19,2.8028726606722134e-19,2.168489133977007e-50
2176,s20 + s7 = s2 + s5,2.993682126547497e-07,0.0011108379270195936,7.196875944599173e-33
2177,s2 + s5 = s11 + s7,1.3725338089110692e-28,8.597421179058351e-44,4.404853855347812e-57
