,rxn,real_molrank,energy_molrank,max_rate
64,s32 + s6 = s19 + s48,9.366604398132486e-65,9.957201433051275e-81,5.603926744575135e-76
65,s2 + s6 = s32 + s44,7.014809554139269e-52,7.325738799740154e-71,1.3916700825300136e-40
66,s13 + s17 = s16 + s4,3.9173228342745925e-25,2.612093250215628e-30,4.3351468499881776e-27
67,s27 = s26 + s8,187718.68092434382,7.249763737362169e-16,1.4914330465798731e-15
68,s13 + s2 = s32 + s35,2.3630563400150293e-18,9.498815646012994e-28,3.9999882983633804e-16
69,s17 + s33 = s23 + s47,7.108229354372187e-24,1.608925530174495e-53,9.651613692218335e-16
70,s13 + s9 = s29 + s35,3.150146958204517e-26,1.1264730299097742e-30,1.2355245041056032e-43
71,s22 + s27 = s19 + s2,2.9007493033877297e-35,1.0610367164025049e-30,5.262324699576145e-80
72,s15 + s46 = s18 + s23,1.674145874920947e-15,3.9817328372043765e-38,2.8902632447449775e-50
73,s46 + s9 = s29 + s49,6.5582149448468475e-18,6.172889281407831e-30,5.3384904831626604e-30
74,s20 + s38 = s22 + s43,2.1049025224663418e-25,7.14887656343859e-30,5.152526540347382e-45
75,s27 + s44 = s14 + s32,4.1379326587147016e-36,9.716864211141445e-31,1.8774774815533342e-46
76,s22 + s38 = s19 + s39,7.113245479981614e-12,6.582748916112766e-35,2.2116710084340116e-47
77,s12 + s25 = s11 + s19,6.272156786815063e-53,4.939894144178245e-66,1.8049259040394923e-73
78,s27 + s9 = s45 + s8,4.445106706506482e-19,1.2887896804628632e-30,1.1935101413894453e-46
79,s20 + s41 = s14 + s32,1.3209751080186915e-06,9.055677415123636e-30,9.585660189293452e-30
80,s22 + s9 = s4 + s8,3.556469406400764e-26,2.6017451605988548e-30,2.090659426235875e-57
81,s22 + s37 = s44 + s9,1.7646202252994236e-45,1.7397767223232155e-57,4.63885586336615e-72
82,s11 + s36 = s23 + s5,2.4675331807359024e-23,9.149585197952896e-44,1.1398893346369075e-56
83,s15 + s3 = s20 + s31,7.540242191846686e-35,1.9429631719446687e-40,6.884509597690797e-72
84,s15 + s20 = s2 + s38,1.3465061179213581e-30,2.6870322641958557e-40,3.4295591119075675e-67
85,s16 + s20 = s33 + s44,2.6667544479955688e-18,4.340783764537625e-36,1.85328680201691e-26
86,s12 + s38 = s1 + s29,1.86360530816121e-70,5.860777860557936e-74,8.508612718897055e-81
87,s27 + s35 = s23 + s29,3.266305525441854e-17,1.2000640959973092e-35,1.3765147531798954e-40
88,s15 + s26 = s47 + s49,1.2305838444560179e-17,3.359897945806504e-41,2.5656128908917677e-55
89,s16 + s38 = s26 + s49,5.821325077214548e-09,8.78040825933636e-20,1.402733651963358e-21
90,s29 + s3 = s37 + s49,0.00704662192619209,7.733287237240574e-15,5.899346999977858e-17
91,s27 + s49 = s2 + s32,6.050758206081537e-21,1.5668440431238569e-30,2.3221713505060418e-45
92,s27 + s32 = s11 + s4,4.677059716758394e-41,2.14604405769311e-41,2.5196248625369564e-76
93,s37 + s41 = s20 + s32,9.94222670213473e-46,1.1930345111812823e-50,3.151883474633233e-63
94,s27 + s3 = s32 + s39,5.1485435687844e-55,8.507199308183109e-57,6.188161187332706e-84
95,s26 + s40 = s11 + s33,2.460791744979777e-41,1.1740343649341803e-50,5.133307952584511e-68
96,s27 + s50 = s20 + s29,1.1376728609784637e-27,1.9843015213117433e-32,9.268995713302002e-41
97,s38 + s41 = s25 + s29,1.9571850665348414e-30,1.498681349968435e-38,1.6135709198876854e-57
98,s13 + s49 = s20 + s35,5.198692950422959e-25,3.627551171548009e-32,7.628173159982777e-37
99,s37 + s6 = s2 + s45,6.709929160613943e-40,9.31715136411571e-55,2.7978944823756765e-41
100,s39 + s9 = s16 + s20,1.119172359955232e-14,3.201117131888532e-30,3.567220160721644e-38
101,s29 + s6 = s14 + s44,2.6154687720719006e-35,3.784901216668445e-54,1.3226699704500748e-41
102,s23 + s41 = s11 + s44,3.5570132659903795e-45,1.4826476995281836e-63,3.636682555821313e-76
103,s15 + s23 = s44 + s8,1.3990920188791121e-19,3.261923150848064e-40,8.91149030685333e-64
104,s38 + s39 = s20 + s7,1.1085153571231425e-28,2.383077618045243e-36,1.9915682975451183e-58
105,s3 + s46 = s25 + s44,3.274326583349945e-74,2.6106515826366573e-79,1.2232615512280419e-87
106,s17 + s28 = s19 + s5,1.0965326269342838e-31,9.755020586528077e-43,2.1010943145396507e-29
107,s15 + s6 = s4 + s42,0.0010289716885569173,5.024934706939115e-26,1.838788013100931e-33
108,s46 + s8 = s19 + s7,1.7816645841886882e-56,1.7051970517039035e-64,5.889541546066789e-62
109,s22 + s41 = s11 + s18,1.5355869353892175e-24,2.4784778633319885e-30,2.2335910844020617e-64
110,s3 + s6 = s35 + s8,2.914273945231468e-24,1.697807594484632e-34,1.3006818451705027e-32
111,s27 + s45 = s19 + s4,1.2577375925034042e-12,9.304054528790657e-31,2.0278888461496223e-49
112,s14 + s6 = s29 + s35,0.014758115971736024,6.379071006874279e-25,0.014758115971736024
113,s34 + s9 = s4 + s44,1.4466897021178256e-27,2.2248596111852524e-45,2.4136787117923135e-46
114,s15 + s27 = s19 + s47,2.8641134254920757e-31,3.642958942097979e-41,9.886454766765303e-82
115,s8 + s9 = s29 + s3,3.174622900969102e-27,5.1342744207627556e-23,8.389516737825849e-35
116,s15 + s49 = s35 + s8,2.0071125916756386e-25,1.086006289015782e-40,1.3794345469508023e-59
117,s20 + s27 = s14 + s29,0.10530974635796439,3.8767367550444295e-30,2.7233664689681565e-30
118,s15 + s6 = s49 + s8,4.670349342608829e-21,2.5350891121152098e-33,8.345985106963317e-51
119,s21 + s27 = s11 + s2,5.125858494586096e-56,5.046784652977948e-61,5.255916843327338e-82
120,s41 + s6 = s2 + s32,4.0280306691012203e-26,4.546077992887411e-36,1.1204617298981806e-41
121,s15 + s41 = s18 + s43,4.709907230479545e-36,8.50959533769047e-41,1.1548608094277658e-80
122,s20 + s45 = s32 + s48,5.207445279449801e-47,1.0339834495164945e-44,2.8873487327734577e-71
123,s27 + s37 = s38 + s5,4.681944223413452e-54,1.0097388221986184e-62,1.5770789144491995e-75
124,s15 + s6 = s25 + s29,7.429579264368356e-33,5.674435787805346e-51,1.327677082433944e-62
125,s20 + s38 = s10 + s18,0.2114439809097849,7.14887656343859e-30,5.1758725727489974e-21
126,s26 + s38 = s1 + s10,2.8013442399868873e-35,4.762378269172007e-56,8.752385312559786e-53
127,s12 + s27 = s11 + s23,7.889448070669556e-73,3.961871603258451e-93,4.740969379713472e-92
128,s16 + s2 = s20 + s41,4.166691440391079e-25,1.1123624294998245e-41,1.657876932743062e-13
129,s3 + s48 = s23 + s8,1.417800304260782e-23,1.2558372507955214e-31,2.5701462571771557e-53
130,s12 + s22 = s33 + s8,9.166987870641128e-13,7.813737748356012e-30,1.345119896186325e-35
131,s28 + s45 = s31 + s8,1.3562062865056982e-24,2.5667193760817765e-15,5.312006810929873e-42
132,s27 + s32 = s20 + s29,3.876858709022142e-23,2.2896324074958664e-40,2.0885407036379137e-58
133,s22 + s3 = s20 + s29,7.792914221827892e-33,5.6590131725830486e-30,2.12527605269422e-65
134,s2 + s5 = s18 + s4,1.2843971641952287e-28,5.430083918447749e-36,3.517928704579688e-37
135,s18 + s37 = s23 + s46,4.725878596923297e-44,3.924114862240871e-59,3.788287918943814e-42
136,s15 + s20 = s16 + s2,6.142593118218644e-40,2.6870322641958557e-40,1.5645221301963543e-76
137,s20 + s43 = s37 + s44,4.632489882139664e-36,3.222635811151575e-37,1.3128417279966488e-54
138,s15 + s46 = s2 + s44,6.317238630694333e-19,3.2392902963101776e-46,1.090614796242955e-53
139,s15 + s3 = s16 + s45,7.881512473665967e-27,1.9429631719446687e-40,7.196101516201318e-64
140,s37 + s38 = s19 + s4,3.148837003210759e-13,4.879845585237413e-30,1.2578185574042356e-25
141,s3 + s9 = s32 + s44,1.1025913503858368e-25,9.758804959290252e-51,3.123085494976869e-40
142,s20 + s27 = s33 + s8,7.085999853363246e-14,3.8767367550444295e-30,1.8324775310128053e-42
143,s27 + s40 = s28 + s44,4.572751869780768e-28,1.3409862429187507e-42,4.001156929106463e-68
144,s27 + s42 = s35 + s49,5.147329057659973e-26,1.6320000195708904e-35,1.3330642376578183e-53
145,s32 + s44 = s20 + s3,4.1637267620933915e-07,1.5441679293183252e-28,3.464521142984083e-11
146,s17 + s27 = s11 + s19,1.4014478787768508e-26,3.4949422739185075e-55,1.510460303300265e-42
147,s26 + s40 = s11 + s38,8.769629186953302e-37,2.004932442274232e-63,1.8293789931002302e-63
148,s45 + s49 = s16 + s31,4.741517045146921e-39,2.7736413976143746e-30,4.8450533367478857e-60
149,s28 + s9 = s34 + s49,1.0402714162964693e-10,3.5553977400949755e-15,4.057406155767865e-18
150,s20 + s3 = s10 + s11,2.5360521180944958e-33,1.8679806932490374e-45,4.7485116608760305e-49
151,s25 + s39 = s2 + s34,5.019339443359996e-27,1.327425325720901e-29,9.265960076638323e-67
152,s20 + s9 = s29 + s32,0.0002935589265418303,9.506062264791897e-30,1.5994167622886915e-18
153,s13 + s3 = s17 + s32,1.663419115620962e-24,3.094660668255516e-34,1.4661210323967401e-41
154,s24 + s35 = s16 + s4,5.410084144334491e-05,5.886224291642491e-16,3.6774706786263335e-18
155,s43 + s9 = s4 + s8,1.6272414669927772e-19,1.8823506989034054e-27,5.969356533848594e-37
156,s27 + s46 = s19 + s2,3.163754598166614e-08,1.3251724146809713e-30,5.269080895916467e-34
157,s27 + s3 = s16 + s28,7.608900286920902e-26,2.8032252692841432e-30,9.145324460161006e-55
158,s12 + s15 = s18 + s44,2.3728511202322695e-53,2.0390000500281887e-64,4.14832432031524e-80
159,s26 + s33 = s19 + s4,4.462549370215655e-08,5.60449149133563e-32,2.157089616858857e-10
160,s46 + s6 = s4 + s7,1.740953809650065e-37,7.606445933821843e-63,5.637010100996815e-43
161,s41 + s49 = s17 + s44,4.3135020223091355e-48,3.2524287307344674e-52,7.280636286236319e-68
162,s22 + s31 = s38 + s44,5.221381447309908e-45,4.3934451436563897e-48,5.093275906415072e-61
163,s3 + s6 = s33 + s47,2.7444112963783155e-50,1.8194406360220681e-47,1.2248697328955465e-58
164,s27 + s46 = s32 + s41,1.8649766484561366e-24,2.4329838206654077e-30,3.106028778403072e-50
165,s27 + s9 = s24 + s3,7.134675339311872e-18,1.2887896804628632e-30,1.9156587086032606e-45
166,s20 + s41 = s1 + s4,2.448932234967657e-23,5.429977123814244e-32,1.7770684768024216e-46
167,s20 + s27 = s29 + s43,7.954523205282578e-18,3.8767367550444295e-30,2.0570823236302795e-46
168,s25 + s40 = s15 + s33,1.5389436558431415e-31,1.096501609074311e-39,4.3694199351996415e-73
169,s12 + s28 = s29 + s3,1.655693085862252e-25,3.564558340349897e-45,2.737764275750965e-24
170,s18 + s26 = s44 + s46,2.2046039004630587e-52,8.070320738406715e-65,2.4895638967412815e-55
171,s27 + s9 = s32 + s4,7.5839184261975e-21,1.2887896804628632e-30,2.0362803754267533e-48
172,s7 = s1 + s9,0.030869608323282626,2.588866807137064e-18,3.4692518533087874e-14
173,s3 + s43 = s11 + s6,2.8059634630970438e-30,3.743494956187826e-33,4.775389133258792e-49
174,s27 + s6 = s14 + s47,1.902710516260757e-27,8.87737807320478e-47,1.4469012084921062e-47
175,s40 + s45 = s20 + s4,7.980549347305253e-28,1.9089341037726154e-40,9.726038550483611e-64
176,s20 + s6 = s11 + s23,1.3129371337669964e-43,1.4815948821003057e-71,9.759592091843401e-52
177,s12 + s21 = s18 + s33,5.179136963545716e-38,1.5636222225637378e-53,4.28390618204982e-41
178,s1 + s27 = s2 + s4,4.8374188827271007e-29,9.37432168009928e-34,5.8702481746463054e-64
179,s12 + s27 = s4 + s43,7.065213250724693e-22,3.6319932597828257e-35,4.2456657782385197e-41
180,s15 + s3 = s38 + s46,4.015422670061419e-18,1.9429631719446687e-40,3.666223870198085e-55
181,s12 + s26 = s19 + s23,6.08511169100004e-65,2.9110136427551463e-81,2.956648787717967e-71
182,s20 + s45 = s17 + s2,3.3717100707724685,6.862634222361123e-30,1.869496898708264e-24
183,s12 + s20 = s11 + s23,1.223908056006976e-72,1.7477610634017047e-82,2.4599948006339595e-78
184,s37 + s43 = s23 + s33,5.981181344786496e-49,6.116362352017545e-56,9.500921423478866e-61
185,s20 + s8 = s2 + s35,7.084794377220738e-16,1.5444126112421157e-22,2.2027562301541316e-24
186,s22 + s24 = s23 + s6,1.4255477418741537e-42,8.61476362633214e-31,1.387246942505161e-75
187,s11 + s27 = s18 + s5,1.9061275952798468e-21,1.3033973260565213e-30,8.0531163139837645e-56
188,s22 + s8 = s25 + s38,1.78796379627346e-26,1.6266766615880715e-33,2.1423591631265916e-48
189,s37 + s6 = s46 + s49,1.272768424971495e-27,2.2811875752618786e-55,5.307167435496289e-29
190,s15 + s31 = s29 + s39,1.9264890919237564e-42,2.74152613428626e-51,2.8590490994078537e-62
191,s26 + s40 = s20 + s31,1.587284599292665e-30,9.945765302586974e-41,3.3111378373186623e-57
192,s1 + s32 = s20 + s8,1.0421232299099598e-12,1.489732343992727e-31,2.040226715544431e-41
193,s38 + s41 = s2 + s32,1.0686481547390163e-27,2.263986461367163e-30,8.810304224993e-55
194,s1 + s49 = s28,2.6954970138515304e-19,2.794588811363825e-33,6.517230890980944e-38
195,s22 + s26 = s23 + s45,4.7610419324350425e-17,1.5232319243382627e-37,1.3442528299671338e-46
196,s27 + s3 = s14 + s20,1.4427714275732153e-32,4.723988935549541e-42,1.7341024759763555e-61
197,s15 + s20 = s19 + s2,8.901951690406079e-11,2.6870322641958557e-40,2.2673324040088924e-47
198,s46 + s6 = s33 + s4,2.795006028540928e-10,3.746437781548682e-29,9.04991110499312e-16
199,s27 + s43 = s29 + s8,2.430969667552642e-18,7.676552011814698e-28,7.040821668210201e-49
200,s1 + s3 = s4 + s47,5.956192054188061e-28,4.9997713605594354e-33,1.5898319809801354e-49
201,s26 + s37 = s20 + s4,8.526728115868895e-35,1.685222217278012e-48,1.0953002447519483e-42
202,s1 + s3 = s2 + s48,1.1397299901698296e-15,1.8353655646783117e-38,3.042177236007841e-37
203,s27 + s6 = s18 + s33,1.0274411994663437e-20,9.001693314207122e-28,7.813095583683103e-41
204,s27 + s45 = s29 + s8,4.412235159355042e-27,9.304054528790657e-31,7.113981898589925e-64
205,s20 + s23 = s1 + s48,4.017854542892159e-54,3.1995176068544894e-60,2.9536920845424318e-77
206,s3 + s40 = s35 + s47,2.9756413223176472e-30,5.751441267390358e-40,1.4423546527988606e-57
207,s27 + s38 = s1 + s10,4.318420037595863e-33,3.039016097310999e-48,3.1822966213572115e-64
208,s15 + s3 = s29 + s39,2.6316094137075004e-34,2.482711788734478e-51,2.4027530953360013e-71
209,s15 + s9 = s20 + s8,2.766739639924052e-20,8.932820751009936e-41,1.1310245741863432e-55
210,s16 + s36 = s20 + s3,1.10828957669634e-34,8.625266536568815e-41,2.5328619014033825e-54
211,s15 + s27 = s32 + s43,8.507922630521777e-39,3.642958942097979e-41,2.9367968285453345e-89
212,s1 + s14 = s34 + s43,0.0025965794224666223,1.2930520248250369e-18,7.602862460764816e-17
213,s18 + s43 = s17 + s19,2.5515233878884423e-39,4.507797069608003e-46,1.8028687026398524e-46
214,s6 + s9 = s1 + s35,6.668531909746271e-50,3.8054423028323195e-56,6.415340317167385e-57
215,s39 + s49 = s33 + s7,6.801938257441246e-23,3.8917531583896e-30,3.717820776387327e-45
216,s15 + s9 = s29 + s32,5.59051956632089e-19,8.932820751009936e-41,2.2853668342107086e-54
217,s12 + s17 = s11 + s47,7.387610827937019e-80,3.251045857556349e-83,8.835763242889948e-76
218,s20 + s27 = s15 + s18,3.5997313831230403e-07,3.8767367550444295e-30,9.30909824126477e-36
219,s37 + s41 = s11 + s20,2.388759775227624e-65,2.1095861438368082e-76,7.57284327342078e-83
220,s46 + s9 = s23 + s49,1.7695443641106128e-32,3.8784832795731e-46,1.4404370437357225e-44
221,s35 + s36 = s11 + s43,1.0715733426493185e-21,5.325577207694885e-44,2.3512022193045618e-42
222,s15 + s38 = s10 + s19,1.2323514555164048e-23,6.71777978446587e-41,2.8577434328352777e-65
223,s3 + s5 = s11 + s18,1.384136158537887e-23,5.299499661636284e-42,6.865384929828541e-52
224,s15 + s36 = s20 + s43,2.286178940914561e-30,6.414310034547983e-50,1.5091980378139268e-81
225,s3 + s49 = s4 + s9,3.3196594391616003e-22,8.356724081598666e-30,7.769547573684722e-35
226,s15 + s6 = s17 + s35,4.255190889043993e-28,1.626133657557707e-30,7.604090654042891e-58
227,s3 + s34 = s16 + s20,4.03764419914823e-23,4.936475953394765e-41,1.7621279348103487e-43
228,s26 + s32 = s10 + s35,1.3714390523718485e-21,4.698270445849044e-31,9.39651682701593e-44
229,s20 + s45 = s2 + s48,4.7414102036932635e-29,9.843265023617964e-42,2.6289483630712926e-53
230,s22 + s3 = s19 + s6,1.4957074559049405e-36,5.6590131725830486e-30,4.0790789522194363e-69
231,s26 + s27 = s15 + s47,8.77022783815622e-50,1.4410846522947702e-60,2.3680074606809635e-76
232,s23 + s41 = s10 + s29,8.340825059396996e-29,1.0993140722798062e-29,8.527641233359504e-60
233,s15 + s6 = s2 + s36,4.620024019645376e-33,1.4915765535860511e-33,8.256052991580813e-63
234,s27 + s37 = s19 + s38,1.5495947106671023e-31,2.56238080575716e-51,5.219697261479498e-53
235,s32 + s6 = s26 + s44,1.6420382335675503e-42,5.068415855203193e-65,9.824117237767375e-54
236,s20 + s41 = s11 + s43,2.4325744216903027e-26,2.942236534255059e-34,1.7651984242507267e-49
237,s12 + s3 = s19 + s21,1.612115439176162e-48,1.3171282026788526e-50,1.450629291580947e-54
238,s20 + s3 = s11 + s23,5.4448805486974124e-48,2.1187903722695692e-61,1.0195010817440684e-63
239,s19 + s46 = s23 + s6,8.522384542886575e-17,9.233107302401846e-27,2.881134564137306e-11
240,s15 + s20 = s47 + s48,3.184548180012621e-29,2.944585271988805e-48,8.111063204770982e-66
241,s32 + s45 = s18 + s2,1.7814437102605022e-31,1.4785657495876185e-28,9.867052416066797e-58
242,s39 + s45 = s10 + s29,1.4888535833439536e-17,2.3109564578015776e-30,4.638521986926389e-51
243,s22 + s29 = s19 + s24,0.00012102764395803679,2.9270932261874615e-15,2.5418154139347816e-34
244,s1 + s21 = s11 + s32,2.8114659288183426e-39,1.5194446044499765e-42,7.284583421560567e-58
245,s26 + s37 = s23 + s32,8.421934437075657e-49,2.7680268828113663e-62,1.0818389803054985e-56
246,s25 + s40 = s13 + s47,1.3465665536286205e-23,1.096501609074311e-39,3.823216477847241e-65
247,s23 + s37 = s11 + s3,1.3206207659548876e-24,2.8019017030899778e-45,8.080894325287013e-43
248,s27 + s3 = s18 + s2,2.7803220747200273e-13,2.8032252692841432e-30,3.3417375071624444e-42
249,s23 + s8 = s19 + s35,1.7632944570528544e-09,1.8748398812323194e-22,2.983583714056348e-26
250,s15 + s27 = s29 + s33,1.1485059470687795e-13,3.642958942097979e-41,3.964456153863957e-64
251,s17 + s43 = s19 + s39,3.0067355397124977e-48,2.0921170028070673e-63,2.1039456838566004e-54
252,s41 + s9 = s18 + s29,7.61253822530722e-29,3.010486483774213e-30,7.879923038128721e-51
253,s26 + s27 = s11 + s36,1.1206359352196676e-58,2.6933985695710266e-62,3.025775731574664e-85
254,s12 + s23 = s29 + s31,3.722494095350275e-23,6.065353586823961e-32,6.5840724148665e-36
255,s20 + s8 = s31 + s45,4.7492716647562735e-06,1.5444126112421157e-22,1.476611344130534e-14
256,s3 + s35 = s15 + s44,8.332088613119118e-67,6.554624270003715e-71,8.397839237152385e-80
257,s26 + s3 = s46 + s48,3.2159442419357056e-59,2.244808230937503e-67,3.191671318493472e-75
258,s40 + s9 = s29 + s43,1.864342724885337e-28,2.6442392034707367e-40,2.0814083692351127e-54
259,s20 + s45 = s2 + s23,9.768326954268068e-08,6.862634222361123e-30,5.41620025543556e-32
260,s40 + s9 = s32 + s46,3.380639754737657e-26,2.6442392034707367e-40,3.774248041927304e-52
261,s22 + s45 = s4 + s44,1.4237472920261888e-23,1.8782567249867482e-30,5.868375813622265e-64
262,s46 + s6 = s19 + s42,1.1675944916295374e-29,7.963553230721374e-42,3.7805379480498026e-35
263,s20 + s6 = s14 + s19,6.946467791541233e-16,4.497419301837452e-34,5.163590120271674e-24
264,s27 + s32 = s11 + s16,5.624428627465965e-32,5.065495151478428e-41,3.02999129058585e-67
265,s23 + s6 = s29 + s8,348582.8639748997,4.7270259893892487e-20,2.8815489212783638e-11
266,s49 + s6 = s29 + s32,3.2056728451454224e-30,2.098862085390707e-36,1.6936866545841718e-34
267,s27 + s38 = s23 + s32,2.002535648220847e-33,3.4476505936527406e-36,1.475693047920448e-64
268,s15 + s27 = s2 + s20,1.6099696176286582e-24,3.642958942097979e-41,5.557353859970655e-75
269,s20 + s46 = s39 + s45,1.0318308122168047e-27,1.5061864639756596e-51,6.102998836034247e-41
270,s15 + s29 = s25 + s8,1.17152249830004e-10,1.0049869413424629e-25,1.428287656046186e-45
271,s15 + s7 = s16 + s23,9.483196520527513e-21,6.033841688261098e-41,1.5503477370306548e-61
272,s22 + s41 = s23 + s37,1.6187398604941289e-31,2.4784778633319885e-30,2.354541339888057e-71
