,rxn,real_molrank,energy_molrank,max_rate
0,s22 + s27 = s18 + s45,8.528767728802366e-30,1.0610367164025049e-30,1.5472259193101864e-74
1,s27 + s32 = s18 + s29,7.5968767110012e-61,8.352492644149716e-29,4.092588206663558e-96
2,s32 + s6 = s33 + s35,1.0780764192649092e-24,3.15528315268325e-32,6.450001539318739e-36
3,s19 + s37 = s18 + s38,2.98582493979326e-25,4.4527984927374144e-35,9.28849061351056e-17
4,s43 = s25 + s4,4.684020431745649e-18,1.3895538554034002e-20,1.7859598576260274e-28
5,s3 + s39 = s18 + s47,8.848807719785553e-30,6.962697304361978e-30,6.799683300208287e-55
6,s20 + s38 = s17 + s39,1.0094537823881179e-18,3.716652290710995e-39,2.471011056091315e-38
7,s38 + s7 = s29,2.430481702098263e-23,1.60530969454576e-30,7.670877834404878e-48
8,s25 + s36 = s23 + s39,6.551280824095112e-66,6.212149856158862e-62,2.0235284970516622e-103
9,s15 + s40 = s29 + s4,2.384080922845269e-23,7.474342010459116e-51,7.362461079678276e-72
10,s25 + s37 = s10 + s23,2.175132366364479e-42,2.485170288769073e-41,3.320268732188736e-66
11,s13 + s27 = s11 + s3,6.963136686053641e-27,3.583455082722756e-50,9.443417449873537e-54
12,s27 + s9 = s19 + s4,9.394600586056443e-06,1.2887896804628632e-30,2.52244812421473e-33
13,s27 + s6 = s12 + s16,2.5038115332454796,7.249763737362169e-16,1.9040037369472734e-20
14,s15 + s48 = s11 + s4,1.1604841816003937e-25,1.6320356386390563e-42,3.860277793204036e-76
15,s22 + s27 = s17 + s39,4.365536807116512e-27,3.768646204310199e-37,7.919633778819983e-72
16,s15 + s36 = s19 + s29,1.913171174719269e-38,6.414310034547983e-50,1.2629607119613444e-89
17,s22 + s37 = s17 + s19,7.880317357442832e-29,5.342165011086529e-30,2.071587747587836e-55
18,s46 + s9 = s37 + s44,3.4272068919110287e-32,5.968740978372924e-40,2.789800506717575e-44
19,s3 + s31 = s30 + s8,1.5479519091065703e-40,6.045899516165959e-41,1.1231011604226225e-39
20,s15 + s20 = s14 + s4,6.148087721576937e-25,2.6870322641958557e-40,1.5659216089482846e-61
21,s8 + s9 = s18 + s46,3.5233556019908414e-22,5.1342744207627556e-23,9.311106143407214e-30
22,s3 + s36 = s11 + s16,9.084035333366276e-50,1.5225081079222113e-51,1.4893541521099578e-77
23,s43 + s49 = s29 + s35,6.637537114930099e-10,2.2884649251595363e-27,1.3356616518456983e-24
24,s3 + s39 = s19 + s35,5.42275235697825e-23,6.962697304361978e-30,4.1670019069872766e-48
25,s27 + s6 = s23 + s8,2.2884467702768436e-43,2.1266657043460787e-51,1.7402313011811014e-63
26,s45 + s9 = s19 + s7,4.479988206531477e-40,5.306085952360898e-50,3.905040076168231e-63
27,s37 + s9 = s11 + s4,4.7461097034098523e-35,2.301005749269111e-46,4.137008972935315e-44
28,s18 + s6 = s46 + s7,7.846900884010652e-53,8.777628771345874e-73,1.4535230940211806e-49
29,s27 + s40 = s16 + s29,9.264769079488617e-35,1.0783665227179978e-40,8.106671005690152e-75
30,s27 + s37 = s33 + s8,1.8998396493408774e-24,2.646272679539976e-30,6.39947190491225e-46
31,s22 + s35 = s32 + s33,242.74339935878257,1.4635466131598051e-15,1.8983450615755546e-24
32,s21 + s45 = s10,2.819914421551798e-32,3.222582046941411e-43,6.437536872718536e-54
33,s15 + s45 = s2 + s8,2.4020781383833845e-32,6.448798638227771e-41,9.509950037651331e-78
34,s23 + s39 = s16 + s28,5.930783994571135e-14,1.1689250654562856e-29,2.7958275484784813e-46
35,s19 + s3 = s32 + s4,1.0315574905996354e-22,4.5054724123017204e-29,1.3761254045274387e-19
36,s1 + s23 = s16 + s47,4.345478206664759e-15,8.393813215529328e-33,6.313839686137369e-44
37,s23 + s6 = s19 + s43,3.191928340905375e-07,1.5270198241754232e-24,2.6385971939791099e-23
38,s15 + s27 = s16 + s44,2.35031030879931e-25,3.642958942097979e-41,8.112889786065093e-76
39,s12 + s2 = s19 + s47,1.2102330281640938e-53,4.5431149973229796e-67,1.410065224954264e-39
40,s18 + s27 = s47 + s6,6.767792016026274e-21,1.5785799857618437e-28,9.933018403875058e-38
41,s15 + s46 = s10 + s11,1.62135444953302e-24,4.7994488362052266e-48,2.799123566463581e-59
42,s12 + s41 = s23 + s38,3.860266565110652e-66,1.0459314848253301e-76,1.1368112743695397e-79
43,s27 + s9 = s2 + s4,3.0292755285745867e-21,1.2887896804628632e-30,8.133597915938735e-49
44,s20 + s3 = s26 + s43,3.1094825569614014e-09,2.067647992221874e-29,5.822204550005883e-25
45,s12 + s38 = s4 + s7,9.403931714896687e-39,1.788635642939149e-64,4.293527854133357e-49
46,s20 + s9 = s16 + s32,2.2368724577399936e-13,9.506062264791897e-30,1.2187302039004593e-27
47,s3 + s34 = s37 + s4,9.269819895426198e-16,3.601791786325378e-29,4.045579001695382e-36
48,s43 = s11 + s19,4.228179206500179e-25,8.274544189150928e-44,1.612153158530125e-35
49,s12 + s18 = s2 + s23,7.635379703762917e-58,2.22513807863927e-72,3.385039652641971e-53
50,s27 + s6 = s18 + s8,2.8781508195162917e-07,9.549609816522273e-27,2.1886670953838142e-27
51,s13 + s32 = s1 + s9,2.7531851555094313e-67,9.475833830642931e-66,2.1634004927622668e-89
52,s2 + s45 = s20 + s35,8.819517595543452e-18,5.469505789686485e-34,2.2196419480683816e-22
53,s1 + s15 = s23 + s40,1.012500472396764e-30,6.497501997421226e-44,5.1830483623125037e-73
54,s3 + s9 = s19 + s2,1.639630278904872e-16,6.873727992332484e-30,4.644246065762046e-31
55,s1 + s3 = s29 + s38,3.51402655257701e-25,4.9997713605594354e-33,9.379670340502268e-47
56,s33 + s37 = s10 + s2,1.799466681151833e-38,1.3453659667237473e-39,3.374146008293048e-35
57,s12 + s41 = s29 + s4,1.5455579378141475e-32,2.1561738905802853e-42,4.5515190706735445e-46
58,s24 + s8 = s19 + s44,4.416015814741334e-48,4.115141853229503e-51,3.0042084370931644e-57
59,s39 + s40 = s20 + s4,7.071904248422373e-26,2.6784646111442198e-40,1.845535543487457e-62
60,s22 + s9 = s18 + s19,2.1754065670582963e-36,2.6017451605988548e-30,1.2788059520856604e-67
61,s1 + s15 = s19 + s29,5.40664371503089e-26,6.497501997421226e-44,2.76769212625284e-68
62,s3 + s6 = s16 + s26,1.5492354904015034e-29,1.2442386613960874e-29,6.914457988948628e-38
63,s37 + s42 = s8 + s9,1.6310177455704482e-24,4.2576198973514936e-50,1.3754796224232526e-33
